# Meta deck: Marnie's Grimmsnarl ex
# Mined from ladder episodes (episodes_2026-07-01.jsonl); archetype seen in 1827 games.
# This exact list: 1047 games, 55.2% win rate, teams: kazuki0123
# card_id,count,name
7,10  # Basic {D} Energy
66,2  # Dudunsparce
112,4  # Munkidori
305,3  # Dunsparce
646,4  # Marnie's Impidimp
647,3  # Marnie's Morgrem
648,3  # Marnie's Grimmsnarl ex
649,1  # Marnie's Morpeko
1079,3  # Rare Candy
1086,4  # Buddy-Buddy Poffin
1097,2  # Night Stretcher
1119,1  # Energy Search
1139,1  # Energy Recycler
1152,4  # Poké Pad
1159,1  # Hero’s Cape
1197,2  # Xerosic’s Machinations
1227,4  # Lillie's Determination
1231,4  # Dawn
1259,4  # Spikemuth Gym
