# Meta deck: Cornerstone Mask Ogerpon ex
# Mined from ladder episodes (episodes_2026-07-01.jsonl); archetype seen in 679 games.
# This exact list: 536 games, 55.4% win rate, teams: Michael Krager
# card_id,count,name
3,6  # Basic {W} Energy
117,1  # Cornerstone Mask Ogerpon ex
414,1  # Team Rocket's Articuno
506,4  # Cubchoo
1081,4  # Enhanced Hammer
1086,2  # Buddy-Buddy Poffin
1097,3  # Night Stretcher
1119,3  # Energy Search
1120,4  # Crushing Hammer
1122,4  # Pokégear 3.0
1123,1  # Switch
1137,1  # Tool Scrapper
1152,2  # Poké Pad
1166,3  # Gravity Gemstone
1182,4  # Boss’s Orders
1194,2  # Colress’s Tenacity
1197,2  # Xerosic’s Machinations
1219,4  # Team Rocket's Petrel
1227,4  # Lillie's Determination
1247,1  # Neutralization Zone
1256,2  # Team Rocket's Watchtower
1264,2  # Battle Cage
