# Meta deck: Mega Starmie ex
# Mined from ladder episodes (episodes_2026-07-01.jsonl); archetype seen in 527 games.
# This exact list: 433 games, 49.7% win rate, teams: Yushin Ito, Pixegami
# card_id,count,name
3,9  # Basic {W} Energy
17,4  # Ignition Energy
666,4  # Cinderace
1030,3  # Staryu
1031,3  # Mega Starmie ex
1086,4  # Buddy-Buddy Poffin
1097,2  # Night Stretcher
1120,4  # Crushing Hammer
1121,1  # Ultra Ball
1122,4  # Pokégear 3.0
1145,4  # Mega Signal
1159,1  # Hero’s Cape
1182,1  # Boss’s Orders
1189,4  # Salvatore
1223,2  # Harlequin
1225,2  # Hilda
1227,4  # Lillie's Determination
1229,4  # Wally's Compassion
